team,off_sos,def_sos
CAR,-0.02851355,-0.013619119
CHI,-0.017301304,0.005224321
PIT,-0.015364973,-0.019063689
LV,-0.007450337,0.001888906
CIN,-0.0055523724,-0.023810942
TB,-0.0042839893,-0.011450166
SF,-0.0033211252,0.0092478255
GB,-0.0013267455,0.011175543
LAC,-0.00120241,0.010599282
BAL,0.0014069865,-0.01869107
ARI,0.0025000845,0.024776137
TEN,0.0026567727,0.0010708923
IND,0.0031499218,-0.014390269
DEN,0.0044133044,0.0023623388
BUF,0.005879192,0.004638804
ATL,0.0061304905,-0.010262808
NE,0.0062425216,-2.1648757e-05
NYJ,0.0064850305,0.004363559
KC,0.008101429,0.0037193124
NYG,0.008549239,0.018545708
DAL,0.008951224,0.034393802
WAS,0.010597278,0.024565138
NO,0.010712427,-0.02241474
JAX,0.015005233,0.012600639
LA,0.018508174,0.028303728
MIA,0.018954407,0.024410954
CLE,0.020051412,-0.018252186
DET,0.021252347,-0.0071899695
HOU,0.021876942,0.015237191
SEA,0.026164806,0.037423827
MIN,0.03146856,0.0352958
PHI,0.044409934,0.03597434
